# Wind Speed (m/s) 	 Rotor Speed (rpm) 	 Pitch Angle (deg) 	 Electrical Power (W) 	 Aerodynamic Power (W) 	 Thrust (N) 	 Torque (Nm) 	 Blade Root Flapwise Moment (Nm) 	 Electrical Power Coefficient (-) 	 Aerodynamic Power Coefficient (-) 	 Thrust Coefficient (-) 	 Torque Coefficient (-) 	 Blade Root Flapwise Moment Coefficient (-)
1.151769e+01	7.880496e+00	9.785463e+00	5.540168e+06	5.000002e+06	5.601884e+05	6.713373e+06	1.102174e+07	1.610879e-01	1.784907e-01	2.078702e-01	2.424495e-02	3.980435e-02
1.199409e+01	7.880496e+00	1.059984e+01	5.540167e+06	5.000001e+06	5.343339e+05	6.713372e+06	1.027655e+07	1.426453e-01	1.580557e-01	1.828383e-01	2.235721e-02	3.422348e-02
1.249936e+01	7.880496e+00	1.142356e+01	5.540167e+06	5.000000e+06	5.100782e+05	6.713371e+06	9.559819e+06	1.260363e-01	1.396524e-01	1.607126e-01	2.058621e-02	2.931470e-02
1.303239e+01	7.880496e+00	1.225607e+01	5.540187e+06	5.000019e+06	4.873583e+05	6.713396e+06	8.870832e+06	1.111958e-01	1.232087e-01	1.412503e-01	1.893676e-02	2.502233e-02
1.359199e+01	7.880496e+00	1.309665e+01	5.540157e+06	4.999991e+06	4.661018e+05	6.713359e+06	8.208641e+06	9.801877e-02	1.086081e-01	1.241949e-01	1.740946e-02	2.128711e-02
1.417692e+01	7.880496e+00	1.394423e+01	5.540220e+06	5.000048e+06	4.462529e+05	6.713436e+06	7.572635e+06	8.638094e-02	9.571295e-02	1.092966e-01	1.600268e-02	1.805074e-02
1.478587e+01	7.880496e+00	1.479786e+01	5.540239e+06	5.000065e+06	4.277291e+05	6.713459e+06	6.961547e+06	7.614190e-02	8.436776e-02	9.630831e-02	1.471173e-02	1.525539e-02
1.541751e+01	7.880496e+00	1.565635e+01	5.540209e+06	5.000038e+06	4.104587e+05	6.713422e+06	6.374330e+06	6.716139e-02	7.441706e-02	8.500216e-02	1.353091e-02	1.284747e-02
1.607042e+01	7.880496e+00	1.651844e+01	5.540137e+06	4.999974e+06	3.943716e+05	6.713335e+06	5.809992e+06	5.930277e-02	6.570944e-02	7.516923e-02	1.245361e-02	1.077786e-02
1.674316e+01	7.880496e+00	1.738258e+01	5.540279e+06	5.000102e+06	3.794153e+05	6.713508e+06	5.267980e+06	5.243917e-02	5.810434e-02	6.662376e-02	1.147324e-02	9.002866e-03
1.743423e+01	7.880496e+00	1.824762e+01	5.540187e+06	5.000019e+06	3.654926e+05	6.713396e+06	4.746760e+06	4.644646e-02	5.146422e-02	5.919188e-02	1.058153e-02	7.481752e-03
1.814209e+01	7.880496e+00	1.911190e+01	5.540167e+06	5.000000e+06	3.525572e+05	6.713371e+06	4.245926e+06	4.121894e-02	4.567196e-02	5.272830e-02	9.771861e-03	6.180292e-03
1.886519e+01	7.880496e+00	1.997396e+01	5.540167e+06	5.000000e+06	3.405423e+05	6.713371e+06	3.764597e+06	3.665859e-02	4.061893e-02	4.710184e-02	9.037116e-03	5.067662e-03
1.960190e+01	7.880496e+00	2.083231e+01	5.540167e+06	5.000000e+06	3.293864e+05	6.713371e+06	3.301987e+06	3.267868e-02	3.620906e-02	4.219862e-02	8.370583e-03	4.117091e-03
2.035060e+01	7.880496e+00	2.168546e+01	5.540167e+06	5.000000e+06	3.190318e+05	6.713371e+06	2.857364e+06	2.920299e-02	3.235789e-02	3.792002e-02	7.766004e-03	3.305389e-03
2.110962e+01	7.880496e+00	2.253196e+01	5.540167e+06	5.000000e+06	3.094232e+05	6.713371e+06	2.430040e+06	2.616481e-02	2.899148e-02	3.418069e-02	7.217572e-03	2.612545e-03
2.187728e+01	7.880496e+00	2.337041e+01	5.540166e+06	5.000000e+06	3.005078e+05	6.713371e+06	2.019410e+06	2.350601e-02	2.604544e-02	3.090708e-02	6.719939e-03	2.021386e-03
2.265187e+01	7.880496e+00	2.419945e+01	5.540185e+06	5.000017e+06	2.922370e+05	6.713394e+06	1.624965e+06	2.117620e-02	2.346393e-02	2.803599e-02	6.268234e-03	1.517215e-03
2.343168e+01	7.880496e+00	2.501787e+01	5.539956e+06	4.999810e+06	2.845518e+05	6.713116e+06	1.245970e+06	1.913076e-02	2.119751e-02	2.551193e-02	5.857721e-03	1.087206e-03
2.421497e+01	7.880496e+00	2.582415e+01	5.540251e+06	5.000076e+06	2.774427e+05	6.713473e+06	8.827614e+05	1.733460e-02	1.920731e-02	2.329133e-02	5.485179e-03	7.212518e-04
2.500000e+01	7.880496e+00	2.661751e+01	5.540017e+06	4.999865e+06	2.708220e+05	6.713189e+06	5.339603e+05	1.575169e-02	1.745340e-02	2.133010e-02	5.145887e-03	4.092987e-04
